"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.619117736816","97.215950012207","94.3355102539063","94.755241394043","90.1550903320313","90.5598983764648","88.1979675292969","93.1273574829102","95.5882415771484","95.1330337524414","96.3060684204102","94.7227783203125","","","","",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","16.6098403930664","","","17.1806697845459","18.8435497283936","","26.3426494598389","32.7378616333008","13.296070098877","","18.1271896362305","18.9211692810059","","","","","","","","28.7724494934082","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","49.0432586669922","43.4277992248535","","","","","","","","","34.1890907287598","","","","","","","","","","","","","","","","","46.0469818115234","45.5210990905762","46.7568893432617","54.317138671875","","","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.5720062255859","","","","94.4286804199219","96.2853469848633","","96.7473983764648","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","49.1170234680176","48.675666809082","50.1422996520996","51.5739936828613","54.4662399291992","56.0543746948242","58.1393203735352","57.5615158081055","53.4919815063477","56.5760459899902","60.0314559936523","60.8333587646484","62.0524597167969","64.421028137207","68.4880218505859","67.5982208251953","67.5003356933594","68.0643310546875","68.3631286621094","69.7628173828125","69.8115539550781","70.5989456176758","70.8504791259766","71.715461730957","72.8024139404297","73.9887008666992","75.0407333374023","76.2731246948242","77.4584121704102","77.1727752685547","78.4131851196289","79.3415298461914","81.8777694702148","83.8268661499023","84.7530975341797","82.7321472167969","84.3638610839844","86.3349533081055","84.642463684082","86.3650360107422","86.8764190673828","89.2444763183594","","",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","40.4562911987305","43.1700592041016","51.1900100708008","58.1384391784668","61.7981109619141","66.6175689697266","68.8773727416992","73.0171432495117","82.9484329223633","82.9033126831055","80.5137405395508","76.9917602539063","78.6980285644531","78.366340637207","76.149543762207","83.3866500854492","92.1819381713867","98.7684631347656","97.0949020385742","94.4497985839844","92.9562683105469","90.8613967895508","87.3244171142578","91.0137634277344","89.6156234741211","89.156867980957","","","","87.3959197998047","90.2826232910156","92.2621994018555","92.0406723022461","93.7952728271484","","94.7488403320313","101.318649291992","107.003372192383","110.625007629395","","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","70.6595764160156","71.4760971069336","","","75.3594436645508","78.8707809448242","78.6637496948242","","","","","","","","","","","","","","","","","","98.5020217895508","","93.608512878418","92.3060607910156","100.47673034668","99.0788116455078","99.0391235351563","98.7726669311523","102.89533996582","101.004081726074","99.8238677978516","97.8886184692383","100.02921295166","102.671340942383","105.821701049805","106.029029846191","107.305137634277","109.337738037109","110.209846496582","","",
"Armenia","ARM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.992240905762","","","95.4975662231445","","","","","93.7254104614258","89.4283218383789","100.075180053711","92.0817489624023","92.2121124267578","98.6054763793945","100.095069885254","","","","","","",
"American Samoa","ASM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","82.9341278076172","82.2523574829102","","","","","","","","","","","","","","","","96.6875610351563","","","","","","","","","","","","","","","","102.509407043457","95.4858932495117","102.324119567871","99.7473220825195","","","",
"Australia","AUS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","95.5045700073242","96.5602416992188","96.0399703979492","","","","","","","","","","","","","","","","","","","","","","","","","101.314788818359","101.267066955566","","","99.2820510864258","99.8745498657227","97.6971206665039","97.8247833251953","99.9847106933594","102.500343322754","100.257141113281","98.8521270751953","98.6147308349609","97.1898574829102","97.1894378662109","","",
